BSCA,H,BOEING,B747SCA Shuttle Carrier
BSTP,L,BELL,214ST SuperTransport
BSTR,L,CUSTOM FLIGHT,Bright Star
BTUB,L,KIMBREL,Dormoy Bathtub
BU20,L,AIRCRAFT HYDRO­FORMING,Bushmaster 2000
BU31,L,"AERO VODOCHODY, CZECH",Z131 (C104)
BU33,L,BITZ,Bü133 Jungmeister
BU81,L,BUCKER,Bü181 Bestmann
BUC,M,HAWKER SIDDELEY,Buccaneer
BUCA,L,ADVANCED AEROMARINE,Mallard
BULT,L,BROKAW,BJ520 Bullet
BX2,L,BRANDLI,BX2 Cherry
C02T,L,AJI,Turbo Star 402
C04T,L,CESSNA,404 (turbine)
C06T,L,CESSNA,206 (turbine)
C07T,L,CESSNA,207 (turbine)
C08T,L,SOLOY,"208 DualPac Caravan, Pathfinder 21"
C1,M,KAWASAKI,C1
C101,L,CASA,"C101 Aviojet (E25 Mirlo, A36 Halcón, T36)"
C10T,L,ADVANCED AIRCRAFT,"Spirit 750, Turbine P210"
C119,M,"FAIRCHILD, US","C119, R4Q Flying Boxcar (F78)"
C120,L,CESSNA,120
C123,M,"FAIRCHILD, US",C123 Provider
C125,M,NORTHROP,C125 Raider
C130,M,LOCKHEED,"C130A/B/E/F/H, AC130, CC130, DC130, EC130/E/G/H/Q, HC130, JC13 0, KC130B/F/H/R/T, LC130, MC130, NC130, RC130, TC130, VC130, WC130E/H, T"
C133,M,DOUGLAS,C133 Cargomaster
C135,H,BOEING,"C135B/C/E/K Stratolifter, EC135, NKC135, OC135, TC135, WC135"
C140,L,CESSNA,140
C141,H,LOCKHEED,"C141, Starlifter (L300)"
C14T,L,AJI,Turbo Star 414
C15,M,MCDONNELL DOUGLAS,YC15
C150,L,CESSNA,150
C152,L,CESSNA,152
C160,M,TRANSALL,C160
C17,H,BOEING,C17 Globemaster 3
C170,L,CESSNA,170
C172,L,CESSNA,172
C175,L,CESSNA,"175, Skylark"
C177,L,CESSNA,"177, Cardinal"
C180,L,CESSNA,"180, Skywagon 180 (U17C)"
C182,L,CESSNA,182
C185,L,AVIONES COLOMBIA,185
C188,L,AVIONES COLOMBIA,"188, AC05 AgWagon, AgTrainer, Pijao"
C190,L,CESSNA,190
C195,L,CESSNA,195 (LC126)
C2,M,GRUMMAN,C2 Greyhound
C205,L,CESSNA,205
C206,L,AVIONES COLOMBIA,206
C207,L,CESSNA,"207 (Turbo)Skywagon 207, (Turbo)Stationair 7/8"
C208,L,CESSNA,"208 Caravan 1, (Super)Cargomaster, Grand  Caravan (C98, U27)"
C210,L,AVIONES COLOMBIA,210
C212,L,CASA,"C212 Aviocar (T12, TE12, TR12, D3, Tp89)"
C21T,L,ADVANCED AIRCRAFT,Regent 1500
C22J,L,CAPRONI VIZZOLA,C22J Ventura
C25A,L,CESSNA,525A Citation CJ2
C25B,L,CESSNA,525B Citation CJ3
C25C,M,CESSNA,525C Citation CJ4
C25M,L,CESSNA,525 Citation M2
C270,L,CAUDRON,"C270 Luciole, C272/275"
C27J,M,ALENIA,C27J Spartan
C295,M,CASA,C295
C303,L,AVIONES COLOMBIA,T303
C30J,M,LOCKHEED MARTIN,"C130J, EC130J, KC130J, WC130J Hercules (C4/5)"
C310,L,AVIONES COLOMBIA,310
C311,L,CEA,CEA-311 Anequim
C320,L,CESSNA,320 (Executive)Skyknight
C335,L,CESSNA,335
C336,L,CESSNA,336 Skymaster
C337,L,AVIONES COLOMBIA,337
C340,L,AVIONES COLOMBIA,340
C365,L,EKW,C3605
C402,L,AVIONES COLOMBIA,402
C404,L,CESSNA,404 Titan
C411,L,CESSNA,411
C414,L,AVIONES COLOMBIA,414
C42,L,IKARUS,Bison
C421,L,CESSNA,"421, Golden Eagle, Executive Commuter"
C425,L,CESSNA,"425 Corsair, Conquest 1"
C441,L,CESSNA,"441 Conquest, Conquest 2"
C46,M,CURTISS,C46 Commando (CW20)
C5,H,LOCKHEED,C5 Galaxy (L500)
C500,L,CESSNA,"500 Citation, Citation 1"
C501,L,CESSNA,501 Citation 1SP
C510,L,CESSNA,Citation Mustang
C525,L,CESSNA,525 CitationJet Citation CJ1
C526,L,CESSNA,526 CitationJet
C550,L,CESSNA,"550, S550, 552 Citation 2/S2/Bravo (T47, U20)"
C551,L,CESSNA,551 Citation 2SP
C55B,L,CESSNA,550B Citation Bravo
C560,M,CESSNA,"560 Citation 5/5 Ultra/5 Ultra Encore (UC35.OT47, TR20)"
C56X,M,CESSNA,560XL Citation Excel
C650,M,CESSNA,650 Citation 3/6/7
C680,M,CESSNA,680 Citation Sovereign
C68A,M,CESSNA,680A Citation Latitude
C700,M,CESSNA,Citation Longitude
C72R,L,CESSNA,172RG
C750,M,CESSNA,750 Citation 10
C77R,L,AVIONES COLOMBIA,177RG
C82,M,"FAIRCHILD, US",C82 Packet (F78)
C82R,L,AVIONES COLOMBIA,R182
C82S,L,CESSNA,T182 Turbo Skylane
C82T,L,CESSNA,TR182 Turbo Skylane RG
C919,M,COMAC,C919
C97,M,BOEING,C97 Stratofreighter
CA10,M,AEROCOMP,Comp Air 10
CA1T,M,AEROCOMP,Comp Air 10T
CA25,L,"COMMONWEALTH,  AUSTRALIA",CA25 Winjeel
CA3,M,AEROCOMP,Comp Air 3
